"","mouse","human"
"7765","Kansl1","KANSL1"
"7766","Kansl1l","KANSL1L"
"7767","Kansl2","KANSL2"
"7768","Kansl3","KANSL3"
"7769","Kantr","KANTR"
"7770","Kars","KARS"
"7771","Kat14","KAT14"
"7772","Kat2a","KAT2A"
"7773","Kat2b","KAT2B"
"7774","Kat5","KAT5"
"7775","Kat6a","KAT6A"
"7776","Kat6b","KAT6B"
"7777","Kat7","KAT7"
"7778","Kat8","KAT8"
"7779","Katna1","KATNA1"
"7780","Katnal1","KATNAL1"
"7781","Katnal2","KATNAL2"
"7782","Katnb1","KATNB1"
"7783","Katnbl1","KATNBL1"
"7784","Kazald1","KAZALD1"
"7785","Kazn","KAZN"
"7786","Kbtbd11","KBTBD11"
"7787","Kbtbd12","KBTBD12"
"7788","Kbtbd13","KBTBD13"
"7789","Kbtbd2","KBTBD2"
"7790","Kbtbd3","KBTBD3"
"7791","Kbtbd4","KBTBD4"
"7792","Kbtbd6","KBTBD6"
"7793","Kbtbd7","KBTBD7"
"7794","Kbtbd8","KBTBD8"
"7795","Kcmf1","KCMF1"
"7796","Kcna1","KCNA1"
"7797","Kcna10","KCNA10"
"7798","Kcna2","KCNA2"
"7799","Kcna3","KCNA3"
"7800","Kcna4","KCNA4"
"7801","Kcna5","KCNA5"
"7802","Kcna6","KCNA6"
"7803","Kcna7","KCNA7"
"7804","Kcnab1","KCNAB1"
"7805","Kcnab2","KCNAB2"
"7806","Kcnab3","KCNAB3"
"7807","Kcnb1","KCNB1"
"7808","Kcnb2","KCNB2"
"7809","Kcnc1","KCNC1"
"7810","Kcnc2","KCNC2"
"7811","Kcnc3","KCNC3"
"7812","Kcnc4","KCNC4"
"7813","Kcnd1","KCND1"
"7814","Kcnd2","KCND2"
"7815","Kcnd3","KCND3"
"7816","Kcne1","KCNE1B"
"7817","Kcne2","KCNE2"
"7818","Kcne3","KCNE3"
"7819","Kcne4","KCNE4"
"7820","Kcne1l","KCNE5"
"7821","Kcnf1","KCNF1"
"7822","Kcng1","KCNG1"
"7823","Kcng2","KCNG2"
"7824","Kcng3","KCNG3"
"7825","Kcng4","KCNG4"
"7826","Kcnh1","KCNH1"
"7827","Kcnh2","KCNH2"
"7828","Kcnh3","KCNH3"
"7829","Kcnh4","KCNH4"
"7830","Kcnh5","KCNH5"
"7831","Kcnh6","KCNH6"
"7832","Kcnh7","KCNH7"
"7833","Kcnh8","KCNH8"
"7834","Kcnip1","KCNIP1"
"7835","Kcnip2","KCNIP2"
"7836","Kcnip3","KCNIP3"
"7837","Kcnip4","KCNIP4"
"7838","Kcnj1","KCNJ1"
"7839","Kcnj10","KCNJ10"
"7840","Kcnj11","KCNJ11"
"7841","Kcnj12","KCNJ12"
"7842","Kcnj13","KCNJ13"
"7843","Kcnj14","KCNJ14"
"7844","Kcnj15","KCNJ15"
"7845","Kcnj16","KCNJ16"
"7846","Kcnj2","KCNJ2"
"7847","Kcnj3","KCNJ3"
"7848","Kcnj4","KCNJ4"
"7849","Kcnj5","KCNJ5"
"7850","Kcnj6","KCNJ6"
"7851","Kcnj8","KCNJ8"
"7852","Kcnj9","KCNJ9"
"7853","Kcnk1","KCNK1"
"7854","Kcnk10","KCNK10"
"7855","Kcnk12","KCNK12"
"7856","Kcnk13","KCNK13"
"7857","Kcnk15","KCNK15"
"7858","Kcnk16","KCNK16"
"7859","Kcnk18","KCNK18"
"7860","Kcnk2","KCNK2"
"7861","Kcnk3","KCNK3"
"7862","Kcnk4","KCNK4"
"7863","Kcnk5","KCNK5"
"7864","Kcnk6","KCNK6"
"7865","Kcnk7","KCNK7"
"7866","Kcnk9","KCNK9"
"7867","Kcnma1","KCNMA1"
"7868","Kcnmb1","KCNMB1"
"7869","Kcnmb2","KCNMB2"
"7870","Kcnmb3","KCNMB3"
"7871","Kcnmb4","KCNMB4"
"7872","Kcnn1","KCNN1"
"7873","Kcnn2","KCNN2"
"7874","Kcnn3","KCNN3"
"7875","Kcnn4","KCNN4"
"7876","Kcnq1","KCNQ1"
"7877","Kcnq1ot1","KCNQ1OT1"
"7878","Kcnq2","KCNQ2"
"7879","Kcnq3","KCNQ3"
"7880","Kcnq4","KCNQ4"
"7881","Kcnq5","KCNQ5"
"7882","Kcnrg","KCNRG"
"7883","Kcns1","KCNS1"
"7884","Kcns2","KCNS2"
"7885","Kcns3","KCNS3"
"7886","Kcnt1","KCNT1"
"7887","Kcnt2","KCNT2"
"7888","Kcnu1","KCNU1"
"7889","Kcnv1","KCNV1"
"7890","Kcnv2","KCNV2"
"7891","Kcp","KCP"
"7892","Kctd1","KCTD1"
"7893","Kctd10","KCTD10"
"7894","Kctd11","KCTD11"
"7895","Kctd12","KCTD12"
"7896","Kctd13","KCTD13"
"7897","Kctd14","KCTD14"
"7898","Kctd15","KCTD15"
"7899","Kctd16","KCTD16"
"7900","Kctd17","KCTD17"
"7901","Kctd18","KCTD18"
"7902","Kctd19","KCTD19"
"7903","Kctd2","KCTD2"
"7904","Kctd20","KCTD20"
"7905","Kctd21","KCTD21"
"7906","Kctd3","KCTD3"
"7907","Kctd4","KCTD4"
"7908","Kctd5","KCTD5"
"7909","Kctd6","KCTD6"
"7910","Kctd7","KCTD7"
"7911","Kctd8","KCTD8"
"7912","Kctd9","KCTD9"
"7913","Kdelc1","KDELC1"
"7914","Kdelc2","KDELC2"
"7915","Kdelr1","KDELR1"
"7916","Kdelr2","KDELR2"
"7917","Kdelr3","KDELR3"
"7918","Kdf1","KDF1"
"7919","Kdm1a","KDM1A"
"7920","Kdm1b","KDM1B"
"7921","Kdm2a","KDM2A"
"7922","Kdm2b","KDM2B"
"7923","Kdm3a","KDM3A"
"7924","Kdm3b","KDM3B"
"7925","Kdm4a","KDM4A"
"7926","Kdm4b","KDM4B"
"7927","Kdm4c","KDM4C"
"7928","Kdm4d","KDM4D"
"7929","Kdm5a","KDM5A"
"7930","Kdm5b","KDM5B"
"7931","Kdm5c","KDM5C"
"7932","Kdm5d","KDM5D"
"7933","Kdm6a","KDM6A"
"7934","Kdm6b","KDM6B"
"7935","Kdm7a","KDM7A"
"7936","Kdm8","KDM8"
"7937","Kdr","KDR"
"7938","Kdsr","KDSR"
"7939","Keap1","KEAP1"
"7940","Kel","KEL"
"7941","Kera","KERA"
"7942","Khdc1a","KHDC1"
"7943","Khdc1b","KHDC1"
"7944","Khdc1c","KHDC1"
"7945","Khdc1a","KHDC1L"
"7946","Khdc1b","KHDC1L"
"7947","Khdc1c","KHDC1L"
"7948","Khdc3","KHDC3L"
"7949","Khdc4","KHDC4"
"7950","Khdrbs1","KHDRBS1"
"7951","Khdrbs2","KHDRBS2"
"7952","Khdrbs3","KHDRBS3"
"7953","Khk","KHK"
"7954","Khnyn","KHNYN"
"7955","Khsrp","KHSRP"
"7956","4930523C07Rik","KIAA0040"
"7957","2610507B11Rik","KIAA0100"
"7958","D5Ertd579e","KIAA0232"
"7959","D130043K22Rik","KIAA0319"
"7960","AU040320","KIAA0319L"
"7961","4931406P16Rik","KIAA0355"
"7962","1110008L16Rik","KIAA0391"
"7963","9330159F19Rik","KIAA0408"
"7964","6430548M08Rik","KIAA0513"
"7965","D430042O09Rik","KIAA0556"
"7966","2700049A03Rik","KIAA0586"
"7967","4933427D14Rik","KIAA0753"
"7968","D830031N03Rik","KIAA0754"
"7969","2210408I21Rik","KIAA0825"
"7970","9530077C05Rik","KIAA0895"
"7971","4931428F04Rik","KIAA0895L"
"7972","5031439G07Rik","KIAA0930"
"7973","AF529169","KIAA1024"
"7974","A730017C20Rik","KIAA1024L"
"7975","A830010M20Rik","KIAA1107"
"7976","4932438A13Rik","KIAA1109"
"7977","1110059G10Rik","KIAA1143"
"7978","E330009J07Rik","KIAA1147"
"7979","4833439L19Rik","KIAA1191"
"7980","Gm14569","KIAA1210"
"7981","C530008M17Rik","KIAA1211"
"7982","2010300C02Rik","KIAA1211L"
"7983","Etl4","KIAA1217"
"7984","5330417C22Rik","KIAA1324"
"7985","9330182L06Rik","KIAA1324L"
"7986","AW554918","KIAA1328"
"7987","C77080","KIAA1522"
"7988","D630045J12Rik","KIAA1549"
"7989","D430041D05Rik","KIAA1549L"
"7990","Resf1","KIAA1551"
"7991","BC034090","KIAA1614"
"7992","2900026A02Rik","KIAA1671"
"7993","D630003M21Rik","KIAA1755"
"7994","0610010F05Rik","KIAA1841"
"7995","E130308A19Rik","KIAA1958"
"7996","Gm973","KIAA2012"
"7997","2510039O18Rik","KIAA2013"
"7998","9930021J03Rik","KIAA2026"
"7999","Kidins220","KIDINS220"
"8000","Kif11","KIF11"
"8001","Kif12","KIF12"
"8002","Kif13a","KIF13A"
"8003","Kif13b","KIF13B"
"8004","Kif14","KIF14"
"8005","Kif15","KIF15"
"8006","Kif16b","KIF16B"
"8007","Kif17","KIF17"
"8008","Kif18a","KIF18A"
"8009","Kif18b","KIF18B"
"8010","Kif19a","KIF19"
"8011","Kif1a","KIF1A"
"8012","Kif1b","KIF1B"
"8013","Kif1bp","KIF1BP"
"8014","Kif1c","KIF1C"
"8015","Kif20a","KIF20A"
"8016","Kif20b","KIF20B"
"8017","Kif21a","KIF21A"
"8018","Kif21b","KIF21B"
"8019","Kif22","KIF22"
"8020","Kif23","KIF23"
"8021","Kif24","KIF24"
"8022","Kif26a","KIF26A"
"8023","Kif26b","KIF26B"
"8024","Kif27","KIF27"
"8025","Kif28","KIF28P"
"8026","Kif2a","KIF2A"
"8027","Kif2b","KIF2B"
"8028","Kif2c","KIF2C"
"8029","Kif3a","KIF3A"
"8030","Kif3b","KIF3B"
"8031","Kif3c","KIF3C"
"8032","Kif4","KIF4A"
"8033","Kif5a","KIF5A"
"8034","Kif5b","KIF5B"
"8035","Kif5c","KIF5C"
"8036","Kif6","KIF6"
"8037","Kif7","KIF7"
"8038","Kif9","KIF9"
"8039","Kifap3","KIFAP3"
"8040","Kifc5b","KIFC1"
"8041","Kifc2","KIFC2"
"8042","Kifc3","KIFC3"
"8043","Kin","KIN"
"8044","Kir3dl1","KIR3DL1"
"8045","Kir3dl2","KIR3DL1"
"8046","Kir3dl1","KIR3DL2"
"8047","Kir3dl2","KIR3DL2"
"8048","Kir3dl1","KIR3DL3"
"8049","Kir3dl2","KIR3DL3"
"8050","Kirrel","KIRREL1"
"8051","Kirrel2","KIRREL2"
"8052","Kirrel3","KIRREL3"
"8053","Kiss1","KISS1"
"8054","Kiss1r","KISS1R"
"8055","Kit","KIT"
"8056","Kitl","KITLG"
"8057","Kiz","KIZ"
"8058","Kl","KL"
"8059","Klb","KLB"
"8060","Klc1","KLC1"
"8061","Klc2","KLC2"
"8062","Klc3","KLC3"
"8063","Klc4","KLC4"
"8064","Klf1","KLF1"
"8065","Klf10","KLF10"
"8066","Klf11","KLF11"
"8067","Klf12","KLF12"
"8068","Klf13","KLF13"
"8069","Klf14","KLF14"
"8070","Klf15","KLF15"
"8071","Klf16","KLF16"
"8072","Klf17","KLF17"
"8073","Klf2","KLF2"
"8074","Klf3","KLF3"
"8075","Klf4","KLF4"
"8076","Klf5","KLF5"
"8077","Klf6","KLF6"
"8078","Klf7","KLF7"
"8079","Klf8","KLF8"
"8080","Klf9","KLF9"
"8081","Klhdc1","KLHDC1"
"8082","Klhdc10","KLHDC10"
"8083","Klhdc2","KLHDC2"
"8084","Klhdc3","KLHDC3"
"8085","Klhdc4","KLHDC4"
"8086","Klhdc7a","KLHDC7A"
"8087","Klhdc7b","KLHDC7B"
"8088","Klhdc8a","KLHDC8A"
"8089","Klhdc8b","KLHDC8B"
"8090","Klhdc9","KLHDC9"
"8091","Klhl1","KLHL1"
"8092","Klhl10","KLHL10"
"8093","Klhl11","KLHL11"
"8094","Klhl12","KLHL12"
"8095","Klhl13","KLHL13"
"8096","Klhl14","KLHL14"
"8097","Klhl15","KLHL15"
"8098","Klhl17","KLHL17"
"8099","Klhl18","KLHL18"
"8100","Klhl2","KLHL2"
"8101","Klhl20","KLHL20"
"8102","Klhl21","KLHL21"
"8103","Klhl22","KLHL22"
"8104","Klhl23","KLHL23"
"8105","Klhl24","KLHL24"
"8106","Klhl25","KLHL25"
"8107","Klhl26","KLHL26"
"8108","Klhl28","KLHL28"
"8109","Klhl29","KLHL29"
"8110","Klhl3","KLHL3"
"8111","Klhl30","KLHL30"
"8112","Klhl31","KLHL31"
"8113","Klhl32","KLHL32"
"8114","Klhl33","KLHL33"
"8115","Klhl34","KLHL34"
"8116","Klhl35","KLHL35"
"8117","Klhl36","KLHL36"
"8118","Klhl38","KLHL38"
"8119","Klhl4","KLHL4"
"8120","Klhl40","KLHL40"
"8121","Klhl41","KLHL41"
"8122","Klhl42","KLHL42"
"8123","Klhl5","KLHL5"
"8124","Klhl6","KLHL6"
"8125","Klhl7","KLHL7"
"8126","Klhl8","KLHL8"
"8127","Klhl9","KLHL9"
"8128","Klk1","KLK1"
"8129","Klk1b1","KLK1"
"8130","Klk1b11","KLK1"
"8131","Klk1b16","KLK1"
"8132","Klk1b21","KLK1"
"8133","Klk1b22","KLK1"
"8134","Klk1b24","KLK1"
"8135","Klk1b26","KLK1"
"8136","Klk1b27","KLK1"
"8137","Klk1b3","KLK1"
"8138","Klk1b4","KLK1"
"8139","Klk1b5","KLK1"
"8140","Klk1b8","KLK1"
"8141","Klk1b9","KLK1"
"8142","Klk10","KLK10"
"8143","Klk11","KLK11"
"8144","Klk12","KLK12"
"8145","Klk13","KLK13"
"8146","Klk14","KLK14"
"8147","Klk15","KLK15"
"8148","Klk1","KLK3"
"8149","Klk1b1","KLK3"
"8150","Klk1b11","KLK3"
"8151","Klk1b16","KLK3"
"8152","Klk1b21","KLK3"
"8153","Klk1b22","KLK3"
"8154","Klk1b24","KLK3"
"8155","Klk1b26","KLK3"
"8156","Klk1b27","KLK3"
"8157","Klk1b3","KLK3"
"8158","Klk1b4","KLK3"
"8159","Klk1b5","KLK3"
"8160","Klk1b8","KLK3"
"8161","Klk1b9","KLK3"
"8162","Klk4","KLK4"
"8163","Klk5","KLK5"
"8164","Klk6","KLK6"
"8165","Klk7","KLK7"
"8166","Klk8","KLK8"
"8167","Klk9","KLK9"
"8168","Klkb1","KLKB1"
"8169","Klrb1a","KLRB1"
"8170","Klrb1b","KLRB1"
"8171","Klrb1c","KLRB1"
"8172","Klrc1","KLRC1"
"8173","Klrc2","KLRC2"
"8174","Klrc3","KLRC3"
"8175","Klrd1","KLRD1"
"8176","Klrg1","KLRG1"
"8177","Klrg2","KLRG2"
"8178","Klrk1","KLRK1"
"8179","Kmo","KMO"
"8180","Kmt2a","KMT2A"
"8181","Kmt2b","KMT2B"
"8182","Kmt2c","KMT2C"
"8183","Kmt2d","KMT2D"
"8184","Kmt2e","KMT2E"
"8185","Kmt5a","KMT5A"
"8186","Kmt5b","KMT5B"
"8187","Kmt5c","KMT5C"
"8188","Kncn","KNCN"
"8189","Kndc1","KNDC1"
"8190","Kng1","KNG1"
"8191","Kng2","KNG1"
"8192","Knl1","KNL1"
"8193","Knop1","KNOP1"
"8194","Knstrn","KNSTRN"
"8195","Kntc1","KNTC1"
"8196","Kpna1","KPNA1"
"8197","Kpna2","KPNA2"
"8198","Kpna3","KPNA3"
"8199","Kpna4","KPNA4"
"8200","Kpna6","KPNA6"
"8201","Kpna7","KPNA7"
"8202","Kpnb1","KPNB1"
"8203","Kprp","KPRP"
"8204","Kptn","KPTN"
"8205","Kras","KRAS"
"8206","Krba1","KRBA1"
"8207","Krcc1","KRCC1"
"8208","Kremen1","KREMEN1"
"8209","Kremen2","KREMEN2"
"8210","Kri1","KRI1"
"8211","Krit1","KRIT1"
"8212","Krr1","KRR1"
"8213","Krt1","KRT1"
"8214","Krt10","KRT10"
"8215","Krt12","KRT12"
"8216","Krt13","KRT13"
"8217","Krt14","KRT14"
"8218","Krt15","KRT15"
"8219","Krt16","KRT16"
"8220","Krt17","KRT17"
"8221","Krt18","KRT18"
"8222","Krt19","KRT19"
"8223","Krt2","KRT2"
"8224","Krt20","KRT20"
"8225","Krt222","KRT222"
"8226","Krt23","KRT23"
"8227","Krt24","KRT24"
"8228","Krt25","KRT25"
"8229","Krt26","KRT26"
"8230","Krt27","KRT27"
"8231","Krt28","KRT28"
"8232","Krt31","KRT31"
"8233","Krt32","KRT32"
"8234","Krt33a","KRT33A"
"8235","Krt33b","KRT33B"
"8236","Krt34","KRT34"
"8237","Krt35","KRT35"
"8238","Krt36","KRT36"
"8239","Krt39","KRT39"
"8240","Krt4","KRT4"
"8241","Krt40","KRT40"
"8242","Krt5","KRT5"
"8243","Krt6a","KRT6A"
"8244","Krt6b","KRT6A"
"8245","Krt6a","KRT6B"
"8246","Krt6b","KRT6B"
"8247","Krt6a","KRT6C"
"8248","Krt6b","KRT6C"
"8249","Krt7","KRT7"
"8250","Krt71","KRT71"
"8251","Krt72","KRT72"
"8252","Krt73","KRT73"
"8253","Krt74","KRT74"
"8254","Krt75","KRT75"
"8255","Krt76","KRT76"
"8256","Krt77","KRT77"
"8257","Krt78","KRT78"
"8258","Krt79","KRT79"
"8259","Krt8","KRT8"
"8260","Krt80","KRT80"
"8261","Krt81","KRT81"
"8262","Krt82","KRT82"
"8263","Krt83","KRT83"
"8264","Krt84","KRT84"
"8265","Krt86","KRT86"
"8266","Krt87","KRT87P"
"8267","Krt88","KRT88P"
"8268","Krt9","KRT9"
"8269","Krt90","KRT90P"
"8270","Gm10318","KRTAP10-7"
"8271","Gm19402","KRTAP10-7"
"8272","Gm19668","KRTAP10-7"
"8273","Gm2696","KRTAP10-7"
"8274","Gm3233","KRTAP10-7"
"8275","Gm3238","KRTAP10-7"
"8276","Gm3250","KRTAP10-7"
"8277","Gm3285","KRTAP10-7"
"8278","Gm7137","KRTAP10-7"
"8279","Gm7138","KRTAP10-7"
"8280","Gm9507","KRTAP10-7"
"8281","Gm9508","KRTAP10-7"
"8282","Gm9639","KRTAP10-7"
"8283","Krtap10-10","KRTAP10-7"
"8284","Krtap10-4","KRTAP10-7"
"8285","Krtap1-3","KRTAP1-1"
"8286","Krtap1-4","KRTAP1-1"
"8287","Krtap1-5","KRTAP1-1"
"8288","Krtap11-1","KRTAP11-1"
"8289","Gm29802","KRTAP12-1"
"8290","Gm10024","KRTAP12-2"
"8291","Gm10100","KRTAP12-2"
"8292","Gm10142","KRTAP12-2"
"8293","Krtap1-3","KRTAP1-3"
"8294","Krtap1-4","KRTAP1-3"
"8295","Krtap1-5","KRTAP1-3"
"8296","Krtap13-1","KRTAP13-1"
"8297","2310034C09Rik","KRTAP13-2"
"8298","2310057N15Rik","KRTAP13-2"
"8299","Krtap13","KRTAP13-2"
"8300","Krtap1-3","KRTAP1-4"
"8301","Krtap1-4","KRTAP1-4"
"8302","Krtap1-5","KRTAP1-4"
"8303","Krtap1-3","KRTAP1-5"
"8304","Krtap1-4","KRTAP1-5"
"8305","Krtap1-5","KRTAP1-5"
"8306","Krtap15","KRTAP15-1"
"8307","Krtap16-1","KRTAP16-1"
"8308","Krtap17-1","KRTAP17-1"
"8309","Gm11562","KRTAP2-1"
"8310","Gm11937","KRTAP2-3"
"8311","Gm11938","KRTAP2-3"
"8312","Krtap2-4","KRTAP2-3"
"8313","Gm11937","KRTAP2-4"
"8314","Gm11938","KRTAP2-4"
"8315","Krtap2-4","KRTAP2-4"
"8316","Krtap24-1","KRTAP24-1"
"8317","Krtap26-1","KRTAP26-1"
"8318","Krtap27-1","KRTAP27-1"
"8319","Krtap29-1","KRTAP29-1"
"8320","Krtap3-1","KRTAP3-1"
"8321","Krtap3-3","KRTAP3-2"
"8322","Krtap3-3","KRTAP3-3"
"8323","Krtap4-16","KRTAP4-3"
"8324","Gm11563","KRTAP4-8"
"8325","Gm11554","KRTAP4-9"
"8326","Gm11569","KRTAP4-9"
"8327","Gm11595","KRTAP4-9"
"8328","Gm11596","KRTAP4-9"
"8329","Krtap4-13","KRTAP4-9"
"8330","Krtap4-6","KRTAP4-9"
"8331","Krtap5-2","KRTAP5-2"
"8332","Krtap5-5","KRTAP5-5"
"8333","Krtap7-1","KRTAP7-1"
"8334","Krtap8-1","KRTAP8-1"
"8335","Krtap9-5","KRTAP9-1"
"8336","Krtcap2","KRTCAP2"
"8337","Krtcap3","KRTCAP3"
"8338","Krtdap","KRTDAP"
"8339","Ksr1","KSR1"
"8340","Ksr2","KSR2"
"8341","Kti12","KTI12"
"8342","Ktn1","KTN1"
"8343","Kxd1","KXD1"
"8344","Ky","KY"
"8345","Kyat1","KYAT1"
"8346","Kyat3","KYAT3"
"8347","Kynu","KYNU"
"8348","L1cam","L1CAM"
"8349","L1td1","L1TD1"
"8350","L2hgdh","L2HGDH"
"8351","L3hypdh","L3HYPDH"
"8352","L3mbtl1","L3MBTL1"
"8353","L3mbtl2","L3MBTL2"
"8354","L3mbtl3","L3MBTL3"
"8355","L3mbtl4","L3MBTL4"
"8356","Lacc1","LACC1"
"8357","Lactb","LACTB"
"8358","Lactb2","LACTB2"
"8359","Lactbl1","LACTBL1"
"8360","Lad1","LAD1"
"8361","Lag3","LAG3"
"8362","Lage3","LAGE3"
"8363","Lair1","LAIR1"
"8364","Lalba","LALBA"
"8365","Lama1","LAMA1"
"8366","Lama2","LAMA2"
"8367","Lama3","LAMA3"
"8368","Lama4","LAMA4"
"8369","Lama5","LAMA5"
"8370","Lamb1","LAMB1"
"8371","Lamb2","LAMB2"
"8372","Lamb3","LAMB3"
"8373","Lamc1","LAMC1"
"8374","Lamc2","LAMC2"
"8375","Lamc3","LAMC3"
"8376","Lamp1","LAMP1"
"8377","Lamp2","LAMP2"
"8378","Lamp3","LAMP3"
"8379","Lamp5","LAMP5"
"8380","Lamtor1","LAMTOR1"
"8381","Lamtor2","LAMTOR2"
"8382","Lamtor3","LAMTOR3"
"8383","Lamtor4","LAMTOR4"
"8384","Lamtor5","LAMTOR5"
"8385","Lancl1","LANCL1"
"8386","Lancl2","LANCL2"
"8387","Lancl3","LANCL3"
"8388","Lap3","LAP3"
"8389","Laptm4a","LAPTM4A"
"8390","Laptm4b","LAPTM4B"
"8391","Laptm5","LAPTM5"
"8392","Large1","LARGE1"
"8393","Large2","LARGE2"
"8394","Larp1","LARP1"
"8395","Larp1b","LARP1B"
"8396","Larp4","LARP4"
"8397","Larp4b","LARP4B"
"8398","Larp6","LARP6"
"8399","Larp7","LARP7"
"8400","Lars","LARS"
"8401","Lars2","LARS2"
"8402","Las1l","LAS1L"
"8403","Lasp1","LASP1"
"8404","Lat","LAT"
"8405","Lat2","LAT2"
"8406","Lats1","LATS1"
"8407","Lats2","LATS2"
"8408","Lax1","LAX1"
"8409","Layn","LAYN"
"8410","Lbh","LBH"
"8411","Lbhd1","LBHD1"
"8412","Lbhd2","LBHD2"
"8413","Lbp","LBP"
"8414","Lbr","LBR"
"8415","Lbx1","LBX1"
"8416","Lbx2","LBX2"
"8417","Lca5","LCA5"
"8418","Lca5l","LCA5L"
"8419","Lcat","LCAT"
"8420","Lce6a","LCE6A"
"8421","Lck","LCK"
"8422","Lclat1","LCLAT1"
"8423","Lcmt1","LCMT1"
"8424","Lcmt2","LCMT2"
"8425","Lcn10","LCN10"
"8426","Lcn12","LCN12"
"8427","Lcn15","LCN15"
"8428","Lcn2","LCN2"
"8429","Lcn6","LCN6"
"8430","Lcn8","LCN8"
"8431","Lcn9","LCN9"
"8432","Lcor","LCOR"
"8433","Lcorl","LCORL"
"8434","Lcp1","LCP1"
"8435","Lcp2","LCP2"
"8436","Lct","LCT"
"8437","Lctl","LCTL"
"8438","Ldah","LDAH"
"8439","Ldb1","LDB1"
"8440","Ldb2","LDB2"
"8441","Ldb3","LDB3"
"8442","Ldha","LDHA"
"8443","Ldhal6b","LDHAL6B"
"8444","Ldhb","LDHB"
"8445","Ldhc","LDHC"
"8446","Ldhd","LDHD"
"8447","Ldlr","LDLR"
"8448","Ldlrad1","LDLRAD1"
"8449","Ldlrad2","LDLRAD2"
"8450","Ldlrad3","LDLRAD3"
"8451","Ldlrad4","LDLRAD4"
"8452","Ldlrap1","LDLRAP1"
"8453","Ldoc1","LDOC1"
"8454","Leap2","LEAP2"
"8455","Lect2","LECT2"
"8456","Lef1","LEF1"
"8457","Lefty1","LEFTY1"
"8458","Lefty2","LEFTY2"
"8459","Lekr1","LEKR1"
"8460","Lelp1","LELP1"
"8461","Lemd1","LEMD1"
"8462","Lemd2","LEMD2"
"8463","Lemd3","LEMD3"
"8464","Lenep","LENEP"
"8465","Leng1","LENG1"
"8466","Leng8","LENG8"
"8467","Leng9","LENG9"
"8468","Leo1","LEO1"
"8469","Lep","LEP"
"8470","Lepr","LEPR"
"8471","Leprot","LEPROT"
"8472","Leprotl1","LEPROTL1"
"8473","Letm1","LETM1"
"8474","Letm2","LETM2"
"8475","Letmd1","LETMD1"
"8476","Lexm","LEXM"
"8477","Lfng","LFNG"
"8478","Lgals1","LGALS1"
"8479","Lgals12","LGALS12"
"8480","Lgals2","LGALS2"
"8481","Lgals3","LGALS3"
"8482","Lgals3bp","LGALS3BP"
"8483","Lgals4","LGALS4"
"8484","Lgals7","LGALS7"
"8485","Lgals7","LGALS7B"
"8486","Lgals8","LGALS8"
"8487","Lgals9","LGALS9"
"8488","Lgals9","LGALS9B"
"8489","Lgalsl","LGALSL"
"8490","Lgi1","LGI1"
"8491","Lgi2","LGI2"
"8492","Lgi3","LGI3"
"8493","Lgi4","LGI4"
"8494","Lgmn","LGMN"
"8495","Lgr4","LGR4"
"8496","Lgr5","LGR5"
"8497","Lgr6","LGR6"
"8498","Lgsn","LGSN"
"8499","Lhb","LHB"
"8500","Lhcgr","LHCGR"
"8501","Lhfpl1","LHFPL1"
"8502","Lhfpl2","LHFPL2"
"8503","Lhfpl3","LHFPL3"
"8504","Lhfpl4","LHFPL4"
"8505","Lhfpl5","LHFPL5"
"8506","Lhfp","LHFPL6"
"8507","Lhpp","LHPP"
"8508","Lhx1","LHX1"
"8509","Lhx2","LHX2"
"8510","Lhx3","LHX3"
"8511","Lhx4","LHX4"
"8512","Lhx5","LHX5"
"8513","Lhx6","LHX6"
"8514","Lhx8","LHX8"
"8515","Lhx9","LHX9"
"8516","Lias","LIAS"
"8517","Lif","LIF"
"8518","Lifr","LIFR"
"8519","Lig1","LIG1"
"8520","Lig3","LIG3"
"8521","Lig4","LIG4"
"8522","Lilra5","LILRA5"
"8523","Gm14548","LILRB3"
"8524","Gm15448","LILRB3"
"8525","Gm15931","LILRB3"
"8526","Lilra6","LILRB3"
"8527","Pira1","LILRB3"
"8528","Pira2","LILRB3"
"8529","Pirb","LILRB3"
"8530","Lilr4b","LILRB4"
"8531","Lilrb4a","LILRB4"
"8532","Lim2","LIM2"
"8533","Lima1","LIMA1"
"8534","Limch1","LIMCH1"
"8535","Limd1","LIMD1"
"8536","Limd2","LIMD2"
"8537","Lime1","LIME1"
"8538","Limk1","LIMK1"
"8539","Limk2","LIMK2"
"8540","Lims1","LIMS1"
"8541","Lims2","LIMS2"
"8542","Lin28a","LIN28A"
"8543","Lin28b","LIN28B"
"8544","Lin37","LIN37"
"8545","Lin52","LIN52"
"8546","Lin54","LIN54"
"8547","Lin7a","LIN7A"
"8548","Lin7b","LIN7B"
"8549","Lin7c","LIN7C"
"8550","Lin9","LIN9"
"8551","C130071C03Rik","LINC00461"
"8552","1500009C09Rik","LINC00634"
"8553","Lncenc1","LINC01157"
"8554","Pantr1","LINC01158"
"8555","9330117O12Rik","LINC01170"
"8556","Gm853","LINC01225"
"8557","Lncpint","LINC-PINT"
"8558","Lingo1","LINGO1"
"8559","Lingo2","LINGO2"
"8560","Lingo3","LINGO3"
"8561","Lingo4","LINGO4"
"8562","Lins1","LINS1"
"8563","Lipa","LIPA"
"8564","Lipc","LIPC"
"8565","Lipe","LIPE"
"8566","Lipf","LIPF"
"8567","Lipg","LIPG"
"8568","Liph","LIPH"
